HostCode,TargetCode,Amount
AIA,NLD,3840.00
AIA,ANT,62720.00
AIA,NOR,960.00
AIA,PAK,960.00
AIA,PHL,960.00
AIA,POL,6720.00
AIA,PRT,5760.00
AIA,PRI,129472.00
AIA,ROM,14400.00
AIA,RUS,39360.00
AIA,KNA,324800.00
AIA,LCA,5376.00
AIA,VCT,5376.00
AIA,SCG,4800.00
AIA,SVK,1920.00
AIA,ESP,24000.00
AIA,SUR,280.00
AIA,SWE,960.00
AIA,CHE,9600.00
AIA,TTO,26880.00
AIA,TUR,960.00
AIA,TCA,448.00
AIA,UKR,19200.00
AIA,GBR,323520.00
AIA,USA,411840.00
AIA,UZB,960.00
AIA,VEN,896.00
AIA,VGB,896.00
AIA,VIR,5376.00
ATG,AFG,960.00
ATG,ALB,960.00
ATG,DZA,3312.00
ATG,AGO,1104.00
ATG,AIA,10752.00
ATG,ARG,2240.00
ATG,ARM,960.00
ATG,ABW,1344.00
ATG,AUS,19200.00
ATG,AUT,4800.00
ATG,AZE,960.00
ATG,BHS,448.00
ATG,BGD,3840.00
ATG,BRB,75712.00
